id,title,selling_price,discounted_price,description,brand,category
2,"Samsung Galaxy M02 (Blue, 32 GB)  (2 GB RAM)",7999.0,7500.0,"⦁ 13MP+2MP Dual rear camera setup-13MP (F1.9) main camera + 2MP (2.4) Macro Camera| 5MP (F2.0) front camera ⦁ 16.55 centimeters (6.5-inch) PLS TFT LCD - v-cut display, HD+ resolution with 720 x 1600 pixels resolution, 269 PPI with 16M colours ⦁ Memory, Storage & SIM: 2GB RAM | 32GB internal memory expandable up to 1TB| Dual SIM (nano+nano) dual-standby (4G+4G) ⦁ Android Pie v10.0 operating system with 1.5GHz mediaTek |MT6739WW Quad core processor ⦁ 5000mAH lithium-ion battery, 1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase",Samsung,M
3,"Samsung Galaxy M01 (Blue, 32 GB)  (3 GB RAM)",9000.0,8499.0,"Looking out for a phone that is a good performer and a great medium for your leisure needs? Then, it’s time to bring home the Samsung Galaxy M01 smartphone whose powerful battery (4000 mAh) will keep you up and running when you are on-the-go. Oh, when it comes to capturing images, you can do so with the help of this phone’s dual rear camera (13 MP main + 2 MP depth) and 5 MP front camera.",Samsung,M
4,Men Printed Round Neck Cotton Blend Blue T-Shirt,1500.0,799.0,"Type                    Round Neck
Sleeve                 Half Sleeve
Fit                       Oversized
Fabric                 Cotton Blend
Sales Package    1 Oversized Tshirt
Pack of               1
Style Code          FS49_BLUE_FIRE
Neck Type          Round Neck",T-rex,TW
5,Men Relaxed Fit Mid Rise Blue Jeans,2399.0,899.0,"Brand             Roadster
Style Code     32530747
Ideal For        Men
Suitable For   Western Wear
Pack Of          1
Reversible      No
Fabric            Cotton Blend
Faded            Light Fade",Roadster,BW
6,Highlander-original,1499.0,1299.0,"From sunrise strolls to late-night lounges, our bottoms are designed to move with you. Crafted from high-quality fabrics, every piece balances comfort, durability, and trend-forward design. Whether you're looking for the structured polish of tailored trousers, the laid-back vibe of joggers, or the flowing grace of skirts, we've got a fit for every mood and moment.

✨ Why you'll love it:

    Ultra-soft, breathable materials for all-day comfort

    Flattering cuts that suit every body type

    Versatile styles that go from work to weekend

    Available in a variety of colors and sizes

Pair with your favorite top, layer up with confidence, and walk into your day with unstoppable energy.",Highlander-original,BW
7,Red Tape,999.0,699.0,"From sunrise strolls to late-night lounges, our bottoms are designed to move with you. Crafted from high-quality fabrics, every piece balances comfort, durability, and trend-forward design. Whether you're looking for the structured polish of tailored trousers, the laid-back vibe of joggers, or the flowing grace of skirts, we've got a fit for every mood and moment.

✨ Why you'll love it:

    Ultra-soft, breathable materials for all-day comfort

    Flattering cuts that suit every body type

    Versatile styles that go from work to weekend

    Available in a variety of colors and sizes

Pair with your favorite top, layer up with confidence, and walk into your day with unstoppable energy.",Red Tape,BW
8,Roadster,2999.0,999.0,"From sunrise strolls to late-night lounges, our bottoms are designed to move with you. Crafted from high-quality fabrics, every piece balances comfort, durability, and trend-forward design. Whether you're looking for the structured polish of tailored trousers, the laid-back vibe of joggers, or the flowing grace of skirts, we've got a fit for every mood and moment.

✨ Why you'll love it:

    Ultra-soft, breathable materials for all-day comfort

    Flattering cuts that suit every body type

    Versatile styles that go from work to weekend

    Available in a variety of colors and sizes

Pair with your favorite top, layer up with confidence, and walk into your day with unstoppable energy.",Roadster,BW
9,Roadster,6999.0,1298.0,"From sunrise strolls to late-night lounges, our bottoms are designed to move with you. Crafted from high-quality fabrics, every piece balances comfort, durability, and trend-forward design. Whether you're looking for the structured polish of tailored trousers, the laid-back vibe of joggers, or the flowing grace of skirts, we've got a fit for every mood and moment.

✨ Why you'll love it:

    Ultra-soft, breathable materials for all-day comfort

    Flattering cuts that suit every body type

    Versatile styles that go from work to weekend

    Available in a variety of colors and sizes

Pair with your favorite top, layer up with confidence, and walk into your day with unstoppable energy.",Roadster,BW
10,Roadster,2499.0,1999.0,"From sunrise strolls to late-night lounges, our bottoms are designed to move with you. Crafted from high-quality fabrics, every piece balances comfort, durability, and trend-forward design. Whether you're looking for the structured polish of tailored trousers, the laid-back vibe of joggers, or the flowing grace of skirts, we've got a fit for every mood and moment.

✨ Why you'll love it:

    Ultra-soft, breathable materials for all-day comfort

    Flattering cuts that suit every body type

    Versatile styles that go from work to weekend

    Available in a variety of colors and sizes

Pair with your favorite top, layer up with confidence, and walk into your day with unstoppable energy.",Roadster,BW
11,Roadster,7999.0,1599.0,"From sunrise strolls to late-night lounges, our bottoms are designed to move with you. Crafted from high-quality fabrics, every piece balances comfort, durability, and trend-forward design. Whether you're looking for the structured polish of tailored trousers, the laid-back vibe of joggers, or the flowing grace of skirts, we've got a fit for every mood and moment.

✨ Why you'll love it:

    Ultra-soft, breathable materials for all-day comfort

    Flattering cuts that suit every body type

    Versatile styles that go from work to weekend

    Available in a variety of colors and sizes

Pair with your favorite top, layer up with confidence, and walk into your day with unstoppable energy.",Roadster,BW
